위치ID,위치명,X좌표,Y좌표,지역코드,여행목적,여행일수,평점
POI010000006E2A0S,화도진지육모정,,,28140,,,3.6666666666666665
POI01000000C0E8OI,연수2차한양아파트/14동,,,28185,28;1;21,1.0,4.0
POI010000006HA610,다나치과의원,,,11410,3;2;4,3.0,4.0
POI01000000B1RPZN,수목원고모호수공원,,,41650,,,4.333333333333333
POI01000000BVPPZF,스트롤링가든브릿지,126.6393808,37.3925126,28185,,,5.0
POI010000006INKQH,가보자빌딩,,,11590,,,3.3333333333333335
POI01000000BGJBTA,인천역,126.6168222,37.47616671,28110,1;4;26,1.0,3.3333333333333335
POI01000000C4VHD1,무송베스트빌,126.5287906,33.51265509,41590,8;24;1,3.0,5.0
POI01000000BGMFQE,남양성모성지,,,41590,13;21;22,1.0,3.6666666666666665
POI010000006KG3Y3,파미에스테이션,129.1208587,35.1550479,11650,22;4;7,1.0,3.6666666666666665
POI010000006KJ53D,대환빌딩,127.0405045,37.5085884,11680,23;10;21,2.0,5.0
POI01000000B1VG7Q,줌모텔,127.096961,37.50546244,11710,6;3;4,2.0,1.3333333333333333
POI01000000B1H73Z,도쿄인,,,11560,1;4;22,2.0,3.0
POI01000000C4JN0I,파로스,,,11620,6;3;9,3.0,3.0
POI01000000BZ22LV,상효원식물원,126.584635,33.30595838,11200,,,3.6666666666666665
POI0100000072Z5Y7,백양사일광정,126.8833944,35.43938478,11170,6;11;1,1.0,4.666666666666667
POI010000006K2YVH,서울동북부창업거점기관서울창업디딤터,127.0773,37.6192461,11350,1;2;24,3.0,3.3333333333333335
POI01000000BY5JC5,여주세계생활도자관,,,41670,,,5.0
POI010000006GIQPF,별방선교교회,126.2688959,33.31879223,11110,9;3;10,1.0,4.0
POI010000006LGFM4,청량리역,127.048958,37.581381,11230,23;26;22,4.0,5.0
POI01000000BZ1T77,산방산온천,126.2987822,33.24902672,41360,21;27;1,1.0,3.0
POI01000000DMEZLT,수정종합상가,,,11560,1;5;23,2.0,5.0
POI010000006GJWSP,세종미술관,,,11110,6;1;4,2.0,3.3333333333333335
POI010000006LK6HU,코스모타워,,,11200,4;21;9,1.0,4.0
POI010000006NNEQG,한국천주교회천진암성지천진암박물관,,,41610,13;3;1,1.0,4.333333333333333
POI01000000B32MRP,메이즈랜드웰빙한식당,126.8008719,33.48825545,11230,1;4;9,2.0,3.3333333333333335
POI01000000BXPPYG,강문해수욕장,128.9191753,37.79482074,41550,6;26;22,1.0,4.333333333333333
POI01000000C0UK7T,송파와이즈더샵아파트/101동,,,11710,1;26;21,1.0,4.0
POI010000006HHFET,자연생태박물관,126.8173965,37.50374289,41410,,,2.3333333333333335
POI01000000B0RYA6,한밭수목원,127.3880376,36.36914318,41630,3;6;21,1.0,5.0
POI01000000C01C9U,천안시동남구청,127.150575,36.80777948,47111,,,3.0
POI01000000B26Y5I,아침고요수목원,,,41820,2;9;12,1.0,5.0
POI01000000761QWW,GOLDENTULIP,,,41461,2;1;22,2.0,3.3333333333333335
POI010000006KHXCC,대원빌딩,127.0005707,37.45248774,11680,2;4;1,2.0,2.3333333333333335
POI010000006GIWGC,흥국생명빌딩,127.0421479,36.00442079,11110,3;6;4,1.0,3.3333333333333335
POI010000007WEYR2,청평자연휴양림,,,41820,22;27;11,2.0,4.333333333333333
POI01000000B1A0EW,KTB증권빌딩,,,11560,1;4;2,1.0,4.333333333333333
POI010000006NHBYF,연세가족사랑치과,127.1044698,37.48529511,41670,3;4;24,1.0,5.0
POI010000006GJOTI,현진빌딩,,,11140,3;4;1,4.0,4.0
POI01000000C1KX6W,논현동신동아파밀리에아파트/102동,,,11680,4;21;1,1.0,3.3333333333333335
POI01000000BXUEYA,인천항연안여객터미널,126.5985284,37.45409981,11440,4;7;22,1.0,4.666666666666667
POI01000000C06KFD,충북알프스자연휴양림,127.7858736,36.57319231,41650,25;22;2,2.0,3.3333333333333335
POI010000006IRPGG,김중업박물관,,,41171,6;2;11,1.0,5.0
POI010000006FLOXN,동화빌딩,,,41285,1;4;11,1.0,5.0
POI010000006LKW36,호텔부티크나인,127.0268126,37.57638985,31710,7;26;23,3.0,3.6666666666666665
POI01000000BUUBTZ,아모르펜션,,,41273,21;28;24,1.0,2.0
POI010000006MI0FL,매직터치덴트,,,41135,3;4;6,2.0,3.0
POI01000000AM4769,신라스테이호텔,127.0301258,37.4894208,45113,,,3.3333333333333335
POI01000000B0LVE1,송산리고분군모형관매표소,127.1128895,36.46151684,11200,6;11;1,1.0,5.0
POI0100000068VWJK,인애빌딩,,,41590,,,4.0
POI01000000C1CQ0B,수색자이아파트,,,11380,,,4.333333333333333
POI01000000B3572O,한라수목원,126.4932661,33.46978393,11200,1;2;21,1.0,4.0
POI010000006GHFES,강화당한의원,,,11110,4;2;22,1.0,5.0
POI010000006TQ5PF,부산시민공원,129.0574038,35.1683563,41285,,,5.0
POI01000000BY5IKC,여주종합터미널,,,41670,3;4;24,1.0,3.3333333333333335
POI010000006FAFIO,하이비젼오피스텔,,,28200,6;3;22,2.0,3.6666666666666665
POI010000006GNS2Z,해밀톤호텔,,,11170,3;7;1,3.0,4.333333333333333
POI01000000B1BJEG,정동극장,,,11140,6;22;3,3.0,3.6666666666666665
POI010000006KM2OY,베드스테이션호텔,126.9115453,33.44637972,11680,6;1;11,2.0,5.0
POI01000000BYOYI9,진주역,128.1178847,35.15077395,41111,,,3.3333333333333335
POI01000000B1D0BW,노량진수산시장,126.9368293,37.51473685,41630,5;24;1,2.0,4.0
POI010000006MQN67,금련사대웅전,127.1197996,37.25960982,41115,3;9;11,1.0,4.0
POI01000000B1S75C,계곡속의민박,,,41360,8;9;25,2.0,4.333333333333333
POI010000006C3PRX,국립수목원,,,41650,2;3;21,1.0,3.6666666666666665
POI01000000BXVNTF,인천선린동공화춘,126.618189,37.47483495,27230,11;6;1,1.0,5.0
POI010000006M94Z0,레이디파크빌딩,,,41135,23;11;1,2.0,4.0
POI010000006G6R8N,루브호텔,,,41570,3;6;10,2.0,5.0
POI010000006M0IV1,로즈I타워,,,11680,,,3.6666666666666665
POI01000000C6PG4N,정동에이플러스빌,126.8847162,33.52652485,41190,22;2;1,1.0,3.3333333333333335
POI01000000BYGH02,한강극동아파트(노유동),,,11215,3;27;28,3.0,3.0
POI010000006GKUPL,삼지빌딩,126.9961502,37.561238,11140,,,3.3333333333333335
POI01000000B1BUQ3,어반오아시스,126.9108874,37.5513043,11440,,,5.0
