TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
g_g012326,G04,g012326,12;26;6;9,2023-09-09,2023-09-10,대중교통 등,대전 방문/거주지 구분 없음/39세 이하/특별미션,12;26;6;9,9;1;6
g_g012333,G02,g012333,12;21;22;28;3,2023-09-09,2023-09-10,자가용,전라권 방문/호남권 거주/39세 이하/부부/일반미션,12;21;22;28;3,3;12;21
g_g012337,G04,g012337,10;2;22;26;4,2023-09-09,2023-09-10,대중교통 등,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,10;2;22;26;4,2;10;1
g_g012338,G03,g012338,2;21;3;6,2023-09-09,2023-09-10,,전라권 방문/호남권 거주/40세 이상/부부/일반미션,2;21;3;6,3;6;21
g_g012339,G07,g012339,11;2;22;26;6,2023-09-16,2023-09-17,,충청권 방문/충청권 거주/40세 이상/자녀동반/일반미션,11;2;22;26;6,2;22;6
g_g012347,G07,g012347,1;22;25;26,2023-09-10,2023-09-11,자가용,충청권 방문/충청권 거주/39세 이하/커플/일반미션,1;22;25;26,1;2;25
g_g012348,G06,g012348,24;28;3;4;6,2023-09-16,2023-09-17,대중교통 등,충청권 방문/충청권 거주/39세 이하/커플/일반미션,24;28;3;4;6,3;4;24
g_g012350,G06,g012350,1;22;26;4;9,2023-09-10,2023-09-11,자가용,충남 방문/거주지 구분 없음/39세 이하/특별미션,1;22;26;4;9,3;9;10
g_g012351,G06,g012351,11;3;9,2023-09-09,2023-09-10,자가용,충청권 방문/충청권 거주/40세 이상/자녀동반/일반미션,11;3;9,3;9;11
g_g012353,G06,g012353,10;22;24;3;6,2023-09-10,2023-09-11,대중교통 등,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,10;22;24;3;6,10;24;3
g_g012371,G04,g012371,11;21;24;4;9,2023-09-09,2023-09-10,대중교통 등,대전 방문/거주지 구분 없음/39세 이하/특별미션,11;21;24;4;9,1;2;24
g_g012372,G06,g012372,2;21;22;24;4,2023-09-09,2023-09-10,자가용,충청권 방문/충청권 외 거주/39세 이하/부부/일반미션,2;21;22;24;4,24;26;4
g_g012377,G06,g012377,12;21;24;27;9,2023-09-10,2023-09-11,자가용,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,12;21;24;27;9,9;1;21
g_g012379,G05,g012379,11;21;22;3;6,2023-09-13,2023-09-14,자가용,충청권 방문/충청권 거주/40세 이상/자녀동반/일반미션,11;21;22;3;6,6;22;26
g_g012382,G06,g012382,13;22;27;3;6,2023-09-12,2023-09-13,대중교통 등,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,13;22;27;3;6,3;22;6
g_g012383,G07,g012383,26;4;6,2023-09-12,2023-09-13,자가용,충청권 방문/충청권 거주/39세 이하/나홀로 여행/일반미션,26;4;6,6;4;26
g_g012386,G02,g012386,21;22;26;27;3,2023-09-12,2023-09-13,대중교통 등,전라권 방문/호남권 거주/39세 이하/나홀로 여행/일반미션,21;22;26;27;3,24;3;27
g_g012388,G05,g012388,3;6,2023-09-12,2023-09-13,자가용,충청권 방문/충청권 외 거주/40세 이상/부부/일반미션,3;6,24;3;4
g_g012389,G03,g012389,2;6;9;1;9;22,2023-09-18,2023-09-19,자가용,전남 방문/거주지 구분 없음/40세 이상/특별미션,2;6;9;1;9;22,9;22;1
g_g012391,G03,g012391,21;26;3,2023-09-16,2023-09-17,자가용,전라권 방문/호남권 거주/39세 이하/커플/일반미션,21;26;3,3;26;21
g_g012392,G06,g012392,21;22;24;26;6,2023-09-10,2023-09-11,자가용,충청권 방문/충청권 거주/39세 이하/부부/일반미션,21;22;24;26;6,22;6;21
g_g012396,G03,g012396,1;21;22;24;27,2023-09-10,2023-09-11,자가용,전라권 방문/호남권 거주/40세 이상/자녀동반/일반미션,1;21;22;24;27,21;13;27
g_g012400,G06,g012400,2;22;6,2023-09-12,2023-09-13,자가용,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,2;22;6,2;24;6
g_g012402,G06,g012402,2;22,2023-09-10,2023-09-11,자가용,충청권 방문/충청권 거주/39세 이하/자녀동반/일반미션,2;22,2;6;22
g_g012406,G03,g012406,4;21;22;26;1;24,2023-09-10,2023-09-11,자가용,전라권 방문/호남권 거주/39세 이하/부부/일반미션,4;21;22;26;1;24,21;22;26
g_g012410,G04,g012410,1;2,2023-09-15,2023-09-16,자가용,충청권 방문/충청권 거주/40세 이상/나홀로 여행/일반미션,1;2,1;2;5
g_g012420,G02,g012420,22;4,2023-09-10,2023-09-11,대중교통 등,전라권 방문/호남권 외 거주/39세 이하/커플/일반미션,22;4,22;4;24
g_g012422,G06,g012422,1;4;22;21,2023-09-10,2023-09-11,자가용,충청권 방문/충청권 거주/39세 이하/커플/일반미션,1;4;22;21,7;4;21
g_g012430,G03,g012430,21;22;24;26;27,2023-09-16,2023-09-17,자가용,전남 방문/거주지 구분 없음/39세 이하/특별미션,21;22;24;26;27,21;1;22
g_g012431,G01,g012431,1;3;6,2023-09-10,2023-09-11,자가용,전라권 방문/호남권 거주/39세 이하/커플/일반미션,1;3;6,6;3;1
g_g012433,G03,g012433,1;4;7;6;22;3;26,2023-09-10,2023-09-11,대중교통 등,전라권 방문/호남권 거주/39세 이하/커플/일반미션,1;4;7;6;22;3;26,22;26;4
g_g012435,G06,g012435,1;22;24;3;9,2023-09-16,2023-09-17,자가용,충청권 방문/충청권 외 거주/40세 이상/부부/일반미션,1;22;24;3;9,22;24;3
g_g012436,G06,g012436,22;24;25;3;6,2023-09-12,2023-09-13,자가용,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,22;24;25;3;6,25;27;22
g_g012439,G07,g012439,22;26;2;5,2023-09-17,2023-09-18,자가용,충청권 방문/충청권 외 거주/39세 이하/나홀로 여행/일반미션,22;26;2;5,2;4;22
g_g012447,G03,g012447,2;3;6,2023-09-16,2023-09-17,대중교통 등,전라권 방문/호남권 거주/39세 이하/커플/일반미션,2;3;6,2;3;6
g_g012455,G05,g012455,1;2;26;3;5,2023-09-15,2023-09-16,자가용,충청권 방문/충청권 외 거주/40세 이상/자녀동반/일반미션,1;2;26;3;5,6;1;22
g_g012457,G04,g012457,1;2;22;6;9,2023-09-16,2023-09-17,대중교통 등,충청권 방문/충청권 외 거주/39세 이하/커플/일반미션,1;2;22;6;9,1;2;9
g_g012458,G01,g012458,3,2023-09-22,2023-09-23,대중교통 등,전라권 방문/호남권 외 거주/39세 이하/나홀로 여행/일반미션,3,3;4;24
g_g012463,G06,g012463,1;21;22,2023-09-12,2023-09-13,자가용,충청권 방문/충청권 외 거주/40세 이상/3인 이상 친구/일반미션,1;21;22,1;21;22
g_g012466,G03,g012466,27;28;3;6;9,2023-09-18,2023-09-19,대중교통 등,전남 방문/거주지 구분 없음/40세 이상/특별미션,27;28;3;6;9,3;9;28
g_g012472,G02,g012472,13;22;3;4;7,2023-09-16,2023-09-17,대중교통 등,전라권 방문/호남권 거주/39세 이하/3인 이상 친구/일반미션,13;22;3;4;7,1;3;22
g_g012473,G03,g012473,1;22;25,2023-09-13,2023-09-14,자가용,전라권 방문/호남권 거주/39세 이하/나홀로 여행/일반미션,1;22;25,25;1;22
g_g012475,G07,g012475,21;22;24;26,2023-09-14,2023-09-15,대중교통 등,충남 방문/거주지 구분 없음/39세 이하/특별미션,21;22;24;26,22;24;26
g_g012478,G05,g012478,2;26;27;5;6,2023-09-17,2023-09-18,자가용,충청권 방문/충청권 외 거주/40세 이상/자녀동반/일반미션,2;26;27;5;6,2;3;21
g_g012484,G03,g012484,2;22;26;27;9,2023-09-12,2023-09-13,자가용,전라권 방문/호남권 외 거주/39세 이하/부모 동반/일반미션,2;22;26;27;9,3;24;27
