TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
f_f006544,F01,f006544,1;24;4,2023-08-24,2023-08-26,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;24;4,1;4;22
f_f006600,F01,f006600,2;22;25;5,2023-08-19,2023-08-21,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",2;22;25;5,25;5;22
f_f006623,H02,f006623,1;2;22;23;6,2023-08-13,2023-08-15,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",1;2;22;23;6,2;6;23
f_f006676,F01,f006676,1;2;4;5;6,2023-08-15,2023-08-17,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",1;2;4;5;6,2;22;4
f_f006712,F01,f006712,1;21;4;5;7,2023-08-22,2023-08-24,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/특별미션",1;21;4;5;7,21;22;5
f_f006742,F01,f006742,10;25;26,2023-08-19,2023-08-21,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부부/일반미션",10;25;26,22;25;26
f_f006747,H02,f006747,12;2;22;5,2023-08-13,2023-08-15,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",12;2;22;5,2;22;12
f_f006892,F04,f006892,1;4;2;22;23;1,2023-08-17,2023-08-19,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부모 동반/일반미션",1;4;2;22;23;1,1;4;6
f_f006904,F04,f006904,1;2;25,2023-08-20,2023-08-22,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/부모 동반/일반미션",1;2;25,25;5;26
f_f006909,F01,f006909,5;4;22;26;23;24;1;4;21,2023-08-21,2023-08-23,대중교통 등,"제주,도서지역 방문/거주지 구분 없음/39세 이하/커플/일반미션",5;4;22;26;23;24;1;4;21,22;23;21
f_f006911,F01,f006911,10;4,2023-08-18,2023-08-20,자가용,"제주,도서지역 방문/거주지 구분 없음/39세 이하/3인 이상 친구/일반미션",10;4,4;10;3
