TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
e_e008076,E03,e008076,1;26;4;6;9,2023-09-02,2023-09-03,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,1;26;4;6;9,22;26;5
e_e008079,E01,e008079,2;4;6,2023-08-26,2023-08-27,자가용,서울 방문/수도권 거주/40세 이상/자녀동반/일반미션,2;4;6,3;6;4
e_e008089,E03,e008089,3;8;9,2023-08-22,2023-08-23,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/나홀로 여행/일반미션,3;8;9,3;21;6
e_e008098,E03,e008098,1;2;4;5;6;7;9;8;10;12;11;21;22;23;24;26;27;28,2023-08-22,2023-08-23,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,1;2;4;5;6;7;9;8;10;12;11;21;22;23;24;26;27;28,1;6;4
e_e008113,E03,e008113,1;21;22;26;27,2023-08-20,2023-08-21,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/커플/일반미션,1;21;22;26;27,6;21;1
e_e008119,E03,e008119,1;11;2;21;6,2023-08-19,2023-08-20,자가용,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,1;11;2;21;6,1;2;6
e_e008124,E03,e008124,1;22;4;5;6,2023-09-02,2023-09-03,대중교통 등,서울 외 수도권 방문/수도권 거주/39세 이하/커플/일반미션,1;22;4;5;6,6;1;22
e_e008129,E03,e008129,10;2;23;5;7,2023-08-20,2023-08-21,자가용,경기 방문/거주지 구분 없음/39세 이하/특별미션,10;2;23;5;7,5;2;10
e_e008133,E03,e008133,1;4;5,2023-08-26,2023-08-27,자가용,서울 외 수도권 방문/수도권 거주/40세 이상/커플/일반미션,1;4;5,1;4;5
e_e008165,E01,e008165,1;11;22;26;9,2023-08-23,2023-08-24,대중교통 등,서울 방문/수도권 외 거주/39세 이하/커플/일반미션,1;11;22;26;9,2;11;26
e_e008170,E01,e008170,1;11;24;6;9,2023-08-25,2023-08-26,대중교통 등,서울 방문/수도권 외 거주/39세 이하/부부/일반미션,1;11;24;6;9,1;4;26
